PARAM,AVG_TIME,RUN,FAILED
1,49.74ms,1,0
1,45.50ms,2,0
1,48.52ms,3,0
10,91.45ms,1,0
10,97.94ms,2,0
10,126.61ms,3,0
20,126.13ms,1,0
20,142.72ms,2,0
20,184.91ms,3,0
50,233.02ms,1,0
50,218.64ms,2,0
50,190.39ms,3,0
100,274.02ms,1,0
100,218.09ms,2,0
100,234.25ms,3,0
1000,1636.29ms,1,0
1000,1549.82ms,2,0
1000,1575.35ms,3,0
